title:Just Another Team's MnK rolls - Season 19
description:Just Another Team's recommendations for Season 19. Recommended for Mouse and Keyboard.

//notes: While unfortunately Long Arm hasn’t quite stacked up as the Legendary  Dead Man’s Tale, it still shines in it’s own niche. While normally I’d suggest Rapid Hit over all others, the long reload time means that Rapid Hit falls off after only a couple of bullets reloaded. Either go into Wellspring and commit to Scout Reloaders and reload boosters, or run with Compulsive Reloader and try not go below half ammo. tags:god-pve
dimwishlist:item=8293111&perks=1840239774,106909392,3592538738,3038247973
dimwishlist:item=8293111&perks=1840239774,106909392,671806388,3038247973

//notes: leaning into the Legendary DMT vibe is probably best, with Hipfire Grip to improve the hipfire and Explosive Payload or Opening Shot for consistency/flinch tags:god-pvp
dimwishlist:item=8293111&perks=1482024992,3142289711,1866048759,3038247973

//notes: While unfortunately Long Arm hasn’t quite stacked up as the Legendary  Dead Man’s Tale, it still shines in it’s own niche. A unique scout rifle which could be pretty good. While normally I’d suggest Rapid Hit over all others, the long reload time means that Rapid Hit falls off after only a couple of bullets reloaded. Either go into Wellspring and commit to Scout Reloaders and reload boosters, or run with Compulsive Reloader and try not go below half ammo. For PvP leaning into the Legendary DMT vibe is probably best, with Hipfire Grip to improve the hipfire and Explosive Payload or Opening Shot for consistency/flinch tags:pve,pvp
dimwishlist:item=8293111&perks=1840239774,3230963543,671806388,3038247973
dimwishlist:item=8293111&perks=4090651448,3230963543,671806388,3038247973

//notes: While unfortunately Long Arm hasn’t quite stacked up as the Legendary  Dead Man’s Tale, it still shines in it’s own niche. A unique scout rifle which could be pretty good. While normally I’d suggest Rapid Hit over all others, the long reload time means that Rapid Hit falls off after only a couple of bullets reloaded. Either go into Wellspring and commit to Scout Reloaders and reload boosters, or run with Compulsive Reloader and try not go below half ammo. tags:pve
dimwishlist:item=8293111&perks=1840239774,106909392,3592538738,3038247973
dimwishlist:item=8293111&perks=1840239774,106909392,3592538738,2213355989
dimwishlist:item=8293111&perks=1840239774,106909392,3592538738,2848615171
dimwishlist:item=8293111&perks=1840239774,106909392,3592538738,11612903
dimwishlist:item=8293111&perks=1840239774,106909392,671806388,3038247973
dimwishlist:item=8293111&perks=1840239774,106909392,671806388,2213355989
